municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total,municipality_name,high_ratio,professionals_ratio,europeans_ratio,growth_rate_10S,companies_size_ratio_10S,companies_profit_ratio_10S,province,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumCompanies_10S_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,banks_total_score,sociodemo_Score,Business_Score,Competitor_Score,sociodemo_Score_norm,Business_Score_norm,Competitor_Score_norm,hdbscan_cluster,Zone_Score
28015,34833,757.0192342262101,12770.218235983515,32721,4.17230399543954,16656.0,1565.0,196.0,521.0,1.0,0.0,2.0,0.0,1.0,4.0,Arroyomolinos,0.02173281756455689,0.3666126442162178,0.9393678408405822,0.09396013448607109,0.011767531219980788,0.03128001921229587,Madrid,11.770020715295493,13.69186357220094,30.43983466205722,63.83211285115864,32.21156456875997,92.39530767915757,21.855599184484735,29.196127082439432,63.84559841466563,8.601018079691066,33.02460794988721,12.914260218625289,45.356027857829005,23.391812865497084,24.134639928310577,55.237778332458845,76.60818713450291,0.2992715931872802,0.299367126368907,0.7660818713450291,1,0.34599561093478715
28018,6197,299.671252865351,2436.7611589930957,5484,4.4089593544321035,242.0,12.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,Becerril de la Sierra,0.048357471819485395,0.3932162593179112,0.8849443279005971,0.049586776859504134,0.004132231404958678,0.01652892561983471,Madrid,4.638467177742652,35.975357346812345,5.729448581079094,76.19622475130359,5.319721376137279,55.71671723036705,0.30719667282372826,0.22386806708579757,33.69404970912272,0.04388274530454626,11.596767372519004,0.09914979054606748,23.96694214876033,5.847953216374271,24.684888436967658,18.581192013797114,94.15204678362574,0.30615080913992015,0.10070278395701932,0.9415204678362574,1,0.2772361636772485
28019,1769,26.26901650138306,551.7493990384618,1643,3.12471308339709,29.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Belmonte de Tajo,0.014849641888854188,0.3118990384615386,0.9287733182589033,0.20689655172413793,0.0,0.0,Madrid,0.37523050593172763,7.930992431848563,1.2218217521660797,38.40379638268712,1.5273958739577524,85.25515567900317,0.027568932176488436,0.11193403354289878,100.0,0.0,0.0,0.0,0.0,5.847953216374271,9.772122878178479,20.02238680670858,94.15204678362574,0.11971116756710493,0.108513495334566,0.9415204678362574,1,0.19685314508937768
28022,62627,8492.150548399673,26396.092326947404,58000,4.890880086876205,70884.0,5876.0,1106.0,2658.0,2.0,1.0,3.0,2.0,3.0,11.0,Boadilla del Monte,0.1355988718667615,0.421481027782704,0.9261181279639772,0.08289599909711641,0.015602956943739067,0.03749788386659895,Madrid,100.0,100.0,63.02337441742603,89.3323627834668,57.17022022343225,83.46569681958348,93.04645890194259,100.0,56.32755527102359,48.53431630682816,43.78841460399324,65.88503581786185,54.37193160656848,64.32748538011698,70.65637106577137,110.71054308558364,35.67251461988302,0.8808870450243238,0.6000077871125508,0.35672514619883017,-1,0.7020751890814766
28023,8216,300.9980522307256,3317.7481243723005,7418,4.155862603895465,430.0,25.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,"Boalo, El",0.03663559545164625,0.4038154971241846,0.9028724440116845,0.05813953488372093,0.009302325581395349,0.018604651162790697,Madrid,4.659156327128652,26.16473758933112,7.836151873562286,81.12225310467083,7.229213050496874,67.79932625051752,0.5540042561180056,0.466391806428745,39.50562029848691,0.17553098121818503,26.106211201391616,0.19829958109213497,26.976744186046513,5.847953216374271,24.137034267740916,29.19845648397674,94.15204678362574,0.29930152725842457,0.1582441994572268,0.9415204678362574,1,0.3000476238056689
28026,10845,464.8825712172653,4052.962171172325,8867,4.278303254443418,1970.0,130.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,Brunete,0.042866073878954844,0.3737171204400484,0.8176118026740433,0.06598984771573604,0.0,0.01015228426395939,Madrid,7.214652948434232,31.379334027595913,9.594268524478702,67.13394001591,8.659850814792144,10.338130232666073,2.575725949060491,2.425237393429474,44.83988171950088,0.0,0.0,0.4957489527303374,14.720812182741117,5.847953216374271,23.227961463818577,12.496336049680362,94.15204678362574,0.28793628403383814,0.06772524757996477,0.9415204678362574,1,0.2541997360098371
28027,1948,287.59932728855455,589.3630573248414,1481,4.292963464140731,55.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Buitrago del Lozoya,0.14763825836168099,0.30254777070063726,0.7602669404517454,0.03636363636363636,0.0,0.01818181818181818,Madrid,4.450226304138908,100.0,1.311767257455305,34.057765944265896,1.3674487947197718,0.0,0.061701895823569344,0.0373113445142996,24.708969786689995,0.0,0.0,0.02478744763651687,26.36363636363636,5.847953216374271,28.11600528926237,10.226940988495436,94.15204678362574,0.34904668875490236,0.05542601508777921,0.9415204678362574,1,0.2761647635128325
28028,2706,57.07891480397332,804.340391530164,2494,3.2468134414832,65.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Bustarviejo,0.021093464450840104,0.29724330803036364,0.9216555801921655,0.07692307692307693,0.0,0.015384615384615385,Madrid,0.8556577696045377,13.156757238316844,1.8258423522947307,31.59250061191525,2.3676117037819586,80.4581739082834,0.07482995876475432,0.09327836128574898,52.2689745487673,0.0,0.0,0.02478744763651687,22.30769230769231,5.847953216374271,9.670482710464706,14.938946533076376,94.15204678362574,0.11844046050990263,0.08096323982599146,0.9415204678362574,1,0.1838837119347781
28031,3193,24.358937446882297,988.2593137953428,2679,3.0277891613895784,160.0,14.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,Cadalso de los Vidrios,0.007628856074814374,0.30950808449587935,0.8390228625117444,0.0875,0.0125,0.025,Madrid,0.3454461150668152,1.887558620678098,2.265647496198575,37.292593177163944,2.5502673189611342,24.768060467555454,0.1995465567060115,0.26117941160009717,59.4559585492228,0.08776549060909251,35.08022130186999,0.09914979054606748,36.25000000000001,5.847953216374271,8.526053654323837,40.31404962576125,94.15204678362574,0.10413278952887081,0.21848636120229042,0.9415204678362574,1,0.23933066461264835
28032,7595,194.03978296352255,2429.8716232955735,6750,3.8677459534908407,1035.0,63.0,15.0,42.0,0.0,0.0,1.0,0.0,0.0,1.0,Camarma de Esteruelas,0.0255483585205428,0.3199304309803257,0.8887425938117183,0.06086956521739131,0.014492753623188406,0.04057971014492753,Madrid,2.99132645873529,16.885279055662032,5.712973640917632,42.13641074493407,6.569678180552609,58.27654904282732,1.3482520640596962,1.1753073522004374,41.360666816850646,0.6582411795681938,40.672720349994194,1.0410728007337087,58.84057971014492,5.847953216374271,13.722946498812147,45.28210225372338,94.15204678362574,0.16910442979231488,0.24541126085938922,0.9415204678362574,1,0.2806841075768926
