municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total
28174,2714,34.79020727664843,1020.8039138943241,2348,3.5328798185941004,72.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28175,1567,18.20687930201591,603.5287994448303,1338,3.85689045936396,370.0,31.0,1.0,4.0,,,,,,
28176,22845,2623.2532825731737,8462.625679604436,19363,4.854641057085968,8654.0,522.0,80.0,274.0,1.0,0.0,1.0,1.0,3.0,6.0
28177,17382,590.0657042245017,6715.1880799876635,15471,3.901485542956675,4928.0,320.0,32.0,56.0,1.0,0.0,1.0,0.0,1.0,3.0
28178,1623,46.98142923791296,523.3474088291755,1495,3.83034257748777,370.0,31.0,1.0,4.0,,,,,,
28179,2219,72.39970664939953,834.1939333664848,1907,4.03453237410072,95.0,6.0,0.0,1.0,,,,,,
28180,7629,96.1796777778246,2167.9033083720424,6766,3.502113019310924,935.0,60.0,20.0,40.0,1.0,0.0,1.0,0.0,1.0,3.0
28181,28152,1736.8943794108259,13062.332328308452,25581,4.732671568474277,30000.0,1696.0,432.0,1040.0,1.0,1.0,1.0,1.0,3.0,7.0
28182,284,2.44582596778358,84.18972332015798,274,3.39698492462312,20.0,1.0,0.0,0.0,,,,,,
28183,1773,102.46005367589132,582.801568154402,1518,3.81811204911742,35.0,3.0,0.0,1.0,,,,,,
28901,1461,25.642136689700862,379.0277136258657,1180,2.9007858546169,46.0,5.0,1.0,3.0,,,,,,
28902,697,9.73443453704957,177.58615611192923,645,2.87429643527204,0.0,0.0,0.0,0.0,,,,,,
28903,50187,8869.089569818332,20829.550177103458,46675,6.055852789597611,51300.0,3861.0,2349.0,3348.0,2.0,2.0,2.0,1.0,2.0,9.0
43001,961,13.94696985476372,418.10432852386157,889,3.828418230563,27.0,4.0,0.0,0.0,,,,,,
43002,2581,18.566379330422883,695.5360951599658,2438,3.6698212407991604,39.0,3.0,2.0,2.0,,,,,,
43003,528,19.70559573267678,128.46185567010298,491,3.9353233830845804,10.0,2.0,0.0,0.0,,,,,,
43004,9612,73.84585077802546,3660.848823788176,7930,3.6120152160799694,1548.0,36.0,12.0,36.0,0.0,0.0,1.0,0.0,1.0,2.0
43005,5290,43.12731620052827,1613.8210815673747,4687,3.6796994466057944,278.0,18.0,10.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0
43006,862,5.77695461746342,261.9229024943312,791,3.33424657534247,16.0,0.0,0.0,2.0,,,,,,
43007,924,21.9117983963345,313.2920962199312,834,3.76454293628809,16.0,0.0,0.0,0.0,,,,,,
43008,359,1.1324719774108,108.55702917771885,341,3.24516129032258,9.0,0.0,0.0,0.0,,,,,,
43009,1928,38.96407395266797,596.2776235424767,1797,3.65060240963855,53.0,5.0,2.0,3.0,,,,,,
43010,496,3.52536984655436,183.0341685649202,464,3.67032967032967,19.0,0.0,1.0,2.0,,,,,,
43011,1334,52.577511655713884,640.8334566987425,1284,4.18604651162791,47.0,0.0,0.0,1.0,,,,,,
43012,5609,271.4979513844924,1978.687898306016,5057,4.253771402003573,621.0,36.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0
43013,7209,42.319577591681906,2268.7721613964195,5856,3.6058243205845226,1035.0,66.0,6.0,24.0,1.0,0.0,1.0,0.0,0.0,2.0
43014,21807,241.67220438392047,7151.014442791771,17916,3.766687957354005,10322.0,297.0,176.0,319.0,1.0,0.0,1.0,1.0,1.0,4.0
43015,122,1.05943691345151,30.27737226277378,119,3.55357142857143,53.0,5.0,2.0,3.0,,,,,,
43016,5604,83.45425758593944,1400.2588072239782,4289,3.725610729871215,294.0,12.0,16.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0
43017,126,4.2922201138519895,58.93548387096771,125,3.92156862745098,7.0,0.0,0.0,1.0,,,,,,
43018,448,2.20079494973112,174.27692307692328,417,3.21276595744681,16.0,1.0,0.0,0.0,,,,,,
43019,1601,26.81771751729948,501.51807228915686,1467,3.77551020408163,38.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
43020,3271,60.54122914050509,902.0940665218126,2989,3.9199459199853344,124.0,10.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
43021,486,8.93667163906805,171.5898520084567,418,3.58375634517766,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43022,1863,4.56918604184837,888.6157385718668,1676,3.2116460721766704,134.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
43023,272,1.11065217391304,66.0571428571429,241,3.41739130434783,13.0,0.0,0.0,0.0,,,,,,
43024,2346,14.717284135243641,582.5065819337267,2097,3.68451688009313,116.0,9.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0
43025,739,4.41216269999204,250.99999999999997,668,3.35947712418301,22.0,0.0,0.0,1.0,,,,,,
43026,1169,6.62637592870151,510.4935400516788,911,3.41995841995842,41.0,4.0,0.0,0.0,,,,,,
43027,219,1.12115951178451,143.97222222222223,193,3.39772727272727,2.0,0.0,0.0,0.0,,,,,,
