municipality,municipality_name,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,competitor_score
28036,Casarrubuelos,4.109089314923513,14.111509695531202,10.438545899752658,29.9309878267427,10.75016570224238,77.8359860760889,1.1174918516219152,55.03597122302158,2.102496714848883,45.63206577595067,1.6861826697892273,45.32374100719424,100.0
28037,Cenicientos,0.3787615331101903,0.0,2.604096115513358,0.0,5.149802274402913,47.28344752142156,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571
28038,Cercedilla,23.427538030303797,50.02961110303058,21.503822809630996,36.96999012239018,19.10900600996448,39.91024366687566,1.8624864193698587,78.94736842105263,0.3504161191414805,6.54577620521893,0.3747072599531615,8.668730650154801,85.71428571428571
28039,Cervera de Buitrago,0.0220259144062996,4.973823200466857,0.0,13.333518427733637,0.1482011066675603,81.92568970893032,0.0,0.0,0.0,0.0,0.0,0.0,100.0
28040,Ciempozuelos,26.604489205291475,14.048420668712032,58.15877043377722,12.278692909959307,63.21782583763415,26.462380036327914,28.682290858295826,63.74999999999999,23.127463863337717,22.6530612244898,24.730679156908668,30.000000000000004,42.85714285714285
28041,Cobeña,16.809563543050295,34.65227665333773,23.700684677669955,48.64176185323893,19.63031643542826,50.92092249271148,1.489989135495887,37.15846994535519,1.5768725361366622,17.330210772833723,1.9672131147540983,26.775956284153008,71.42857142857143
28042,Colmenar del Arroyo,6.465372014545394,54.47355337834342,4.9987012172377145,32.090256898001726,4.744669600899633,46.93047750431747,0.1862486419369858,57.954545454545446,0.1752080595707402,24.025974025974023,0.1873536299765807,31.818181818181824,100.0
28043,Colmenar de Oreja,3.628418846376398,3.3658426717072816,22.32050642410964,27.816583536485386,22.519865650856065,60.885598174372525,3.104144032283098,50.898203592814376,0.0,0.0,0.468384074941452,4.1916167664670665,85.71428571428571
28044,Colmenarejo,57.838024637124896,100.0,30.53719553967065,51.68624405760378,24.840441773349124,53.32199467268516,3.228309793574422,52.61904761904762,0.700832238282961,5.034013605442177,2.2482435597189694,20.0,85.71428571428571
28045,Colmenar Viejo,100.0,46.70452148991131,100.0,17.426423504845687,100.0,45.45956533382018,100.0,51.94805194805196,100.0,27.4582560296846,100.0,33.68983957219251,0.0
28046,Collado Mediano,46.36314502656545,100.0,23.048771458197702,46.71981804501684,18.826008921855568,37.930356161526966,2.2349837032438304,36.95652173913043,0.700832238282961,5.106970324361628,2.622950819672131,23.67149758454106,85.71428571428571
28047,Collado Villalba,100.0,100.0,100.0,29.12370236383476,100.0,21.674334840137497,100.0,57.47724317295189,50.45992115637319,6.18614155675274,100.0,19.57087126137841,0.0
28048,Corpa,0.773981910137417,14.927258948134437,1.1242803609631535,0.0,1.753837217096003,65.32741723506196,0.0,0.0,0.0,0.0,0.0,0.0,100.0
28049,Coslada,100.0,18.603831013940628,100.0,18.53606989290011,100.0,19.68508247479337,100.0,50.47091568500661,100.0,45.20549595755533,100.0,45.22477438218673,0.0
28050,Cubas de la Sagra,9.201236065865064,19.842107639550346,18.94590598142421,36.17320203255075,18.385129247749056,77.30795092506598,2.793729629054788,79.6875,0.5256241787122208,6.607142857142858,0.2810304449648712,4.375,85.71428571428571
28051,Chapinería,2.554214633236741,13.92421393789981,5.133705610444267,8.015642235125974,6.389031628648242,56.3406861377548,0.3104144032283097,70.83333333333333,0.0,0.0,0.2810304449648712,35.0,100.0
28052,Chinchón,2.176490850316587,2.6670265163876192,13.69634767310433,19.862526590942696,14.438064597809005,45.08199041890555,0.7449945677479435,35.172413793103445,0.1752080595707402,3.645320197044335,0.3747072599531615,9.655172413793103,85.71428571428571
28053,Daganzo de Arriba,20.608675632335203,29.543476376115223,29.34322950557245,32.24529989734987,29.15987101290616,72.92247154011434,4.221635883905013,41.52298850574713,15.418309242225142,66.83087027914615,11.241217798594848,60.3448275862069,71.42857142857143
28054,"Escorial, El",100.0,100.0,47.61525373113801,36.212238872349225,44.96600311296797,65.35362653235283,7.760360080707746,58.37912087912088,1.7520805957074024,5.808477237048666,3.278688524590164,13.461538461538463,42.85714285714285
28055,Estremera,6.008706598906899,70.7391987873525,3.140837649031868,20.69998161242528,3.1360545737542544,18.33522798591102,0.0,0.0,0.1752080595707402,40.65934065934066,0.0936768149882903,26.923076923076927,100.0
28056,Fresnedillas de la Oliva,8.735789233363102,81.61670717506307,4.039225872707204,19.75353246655864,3.746732500726111,0.0,0.3104144032283097,100.0,0.0,0.0,0.0,0.0,100.0
28057,Fresno de Torote,2.152125218543641,11.567110485808156,6.932230082821074,40.77812626935784,6.335411127743395,65.52629775423644,0.5587459258109576,96.83544303797468,0.0,0.0,0.3747072599531615,35.44303797468354,100.0
28058,Fuenlabrada,100.0,8.352049125026667,100.0,15.57506259417659,100.0,58.94599530833805,100.0,56.869507013561496,100.0,13.798049340218013,100.0,20.46301146615448,0.0
28059,Fuente el Saz de Jarama,14.577473231657834,31.989537817907976,23.18225468439837,55.25422109949805,17.11611072633437,22.353885561362503,4.842464690361633,65.0,2.102496714848883,12.436974789915965,3.934426229508197,28.82352941176471,85.71428571428571
28060,Fuentidueña de Tajo,0.9824926748134896,3.8854425807029886,4.192057899198654,1.3601288114149357,5.626428949112655,51.51798128682,0.0,0.0,0.0,0.0,0.0936768149882903,15.555555555555555,85.71428571428571
