municipality,tot_pob,high,professionals,europeans,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total,municipality_name,high_ratio,professionals_ratio,europeans_ratio,growth_rate_10S,companies_size_ratio_10S,companies_profit_ratio_10S,branch_density_per_1000,competitor,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,competitor_score
08254,2245,49.72146899173217,901.7056396148569,2110,67.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,"Esquirol, L'",0.02214764765778716,0.40165061898211885,0.9398663697104677,0.07462686567164178,0.029850746268656716,0.04477611940298507,0.44543429844098,99.0,3.4278407934403656,22.85382665095834,6.769730505992796,48.7339858297354,5.957088704692539,78.33775716867105,0.31041440322830977,63.43283582089552,0.3504161191414805,31.556503198294237,0.2810304449648712,31.343283582089555,85.71428571428571
08255,184,0.8625,77.0,180,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Maria de Merlès,0.0046875,0.41847826086956524,0.9782608695652174,0.0,0.0,0.0,0.0,100.0,0.0,1.5001050919188819,0.2113117124908272,54.23362870317906,0.20777944100627807,98.36290939455516,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08256,889,45.99292684599042,357.3919372900336,872,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Maria de Martorelles,0.05173557575476987,0.40201567749160133,0.9808773903262092,0.07142857142857142,0.0,0.07142857142857142,0.0,100.0,3.165737247404893,59.03979657945795,2.4411106404188256,48.853294966659874,2.2691898091259115,99.72758992794583,0.06208288064566196,60.71428571428571,0.0,0.0,0.09367681498829039,50.0,100.0
08257,138,0.0,86.52380952380942,129,139.0,7.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Santa Maria de Miralles,0.0,0.6269841269841262,0.9347826086956522,0.050359712230215826,0.10071942446043165,0.14388489208633093,0.0,100.0,0.0,0.0,0.2870491979236351,100.0,0.055854688442547866,75.6862552976524,0.4345801645196337,42.805755395683455,2.452912833990364,100.0,1.873536299765808,100.0,100.0
08258,1063,6.00975609756098,331.8634146341462,1011,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Santa Maria d'Oló,0.005653580524516444,0.31219512195121935,0.9510818438381938,0.0,0.0,0.0,0.9407337723424272,99.0,0.3550593938975398,2.6816194140462954,2.2380966985778286,19.497965118873722,2.6832592327799993,84.18733399719684,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571
08259,9777,70.34626468739324,3112.143489992447,8996,1088.0,36.0,28.0,56.0,1.0,0.0,0.0,0.0,0.0,1.0,Santa Maria de Palautordera,0.007195076678673749,0.3183127227158072,0.9201186458013706,0.03308823529411765,0.025735294117647058,0.051470588235294115,0.10228086325048584,99.0,4.8776922036661405,4.566865765071542,24.348095977768487,21.49733138020581,26.46990921751305,68.03807417005324,2.2349837032438304,28.125,4.905825667980728,27.205882352941174,5.245901639344262,36.029411764705884,85.71428571428571
08260,25930,358.1307261670913,10150.42264067561,23456,15120.0,800.0,1280.0,1520.0,1.0,0.0,1.0,1.0,1.0,4.0,Santa Perpètua de Mogoda,0.013811443353917907,0.3914547875308758,0.9045892788276128,0.05291005291005291,0.08465608465608465,0.10052910052910052,0.15426147319706904,96.0,25.107939013101593,12.658667420177206,80.31956026569375,45.401764229423556,69.54504494440596,59.93853025627447,49.66630451652957,44.97354497354497,100.0,89.49357520786091,100.0,70.37037037037037,42.857142857142854
08261,3755,119.64444079971321,1509.1724293918985,3327,188.0,22.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,Santa Susanna,0.031862700612440266,0.40191010103645763,0.8860186418109188,0.11702127659574468,0.010638297872340425,0.031914893617021274,0.26631158455392806,99.0,8.343182539313064,34.735314699684146,11.600571255866443,48.81879026285063,9.582430349203513,50.2527722805802,1.3658233742045631,99.46808510638299,0.3504161191414805,11.246200607902734,0.5620608899297423,22.340425531914892,85.71428571428571
08262,9949,51.9016017659253,2170.377706096128,8662,1085.0,55.0,30.0,50.0,1.0,0.0,1.0,1.0,0.0,3.0,Sant Vicenç de Castellet,0.00521676568156853,0.21815033732999578,0.8706402653533019,0.05069124423963134,0.027649769585253458,0.04608294930875576,0.3015378429992964,97.0,3.581096545583806,2.147395837477329,16.85876388217714,0.0,25.474951034056463,42.23197944004954,3.414558435511408,43.08755760368664,5.256241787122208,29.22975641869651,4.683840749414521,32.25806451612904,57.14285714285714
08263,28079,219.94753881995848,7702.841744953241,25921,12720.0,540.0,480.0,920.0,1.0,0.0,1.0,1.0,1.0,4.0,Sant Vicenç dels Horts,0.007833168518108141,0.27432749545757473,0.9231454111613662,0.04245283018867924,0.03773584905660377,0.07232704402515723,0.14245521564158267,96.0,15.394141504461034,5.347250658454751,60.85532990997741,7.121993276059446,76.88807465165293,69.6167231253787,33.52475554865746,36.08490566037736,84.09986859395532,39.8921832884097,86.18266978922716,50.62893081761006,42.857142857142854
